TemplateStr,TemplateTokens,ParameterClasses,ExampleLog,Dataset
<*> <*>:<*>:<*> GoogleSoftwareUpdateAgent[<*>] [lvl=<*>] -[KSAgentApp(KeystoneThread) runKeystonesInThreadWithArg:] About to run checks for any other apps.,"['<*>', '<*>', ':', '<*>', ':', '<*>', 'GoogleSoftwareUpdateAgent', '[', '<*>', ']', '[', 'lvl', '=', '<*>', ']', '-', '[', 'KSAgentApp', '(', 'KeystoneThread', ')', 'runKeystonesInThreadWithArg', ':', ']', 'About', 'to', 'run', 'checks', 'for', 'any', 'other', 'apps.']","{0: 'Time::Timestamp', 1: 'Time::Timestamp', 3: 'Time::Timestamp', 5: 'Time::Timestamp', 8: 'Object::ValueExpression'}",2017-07-08 06:26:32.365 GoogleSoftwareUpdateAgent[39159/0x7000002a0000] [lvl=2] -[KSAgentApp(KeystoneThread) runKeystonesInThreadWithArg:] About to run checks for any other apps.,mac
"Arranged view frame: {{<*>, <*>}, {<*>, <*>}}","['Arranged', 'view', 'frame', ':', '{', '{', '<*>', ',', '<*>', '}', ',', '{', '<*>', ',', '<*>', '}', '}']","{6: 'Object::ValueExpression', 8: 'Object::ValueExpression', 12: 'Object::ValueExpression', 14: 'Object::ValueExpression'}","Arranged view frame: {{0, 0}, {260, 877}}",mac
CCProfileMonitor::setStreamEventHandler,"['CCProfileMonitor', ':', ':', 'setStreamEventHandler']",{},CCProfileMonitor::setStreamEventHandler,mac
Telling CSI to go low power.,"['Telling', 'CSI', 'to', 'go', 'low', 'power.']",{},Telling CSI to go low power.,mac
Created MRAppMaster for application <*>,"['Created', 'MRAppMaster', 'for', 'application', '<*>']",{4: 'Object::Session'},Created MRAppMaster for application appattempt_1445144423722_0020_000001,hadoop
Executing with tokens:,"['Executing', 'with', 'tokens', ':']",{},Executing with tokens:,hadoop
"Kind: <*>, Service: , Ident: (appAttemptId { application_id { id: <*> cluster_timestamp: <*> } attemptId: <*> } keyId: <*>)","['Kind', ':', '<*>', ',', 'Service', ':', ',', 'Ident', ':', '(', 'appAttemptId', '{', 'application_id', '{', 'id', ':', '<*>', 'cluster_timestamp', ':', '<*>', '}', 'attemptId', ':', '<*>', '}', 'keyId', ':', '<*>', ')']",{19: 'Time::Timestamp'},"Kind: YARN_AM_RM_TOKEN, Service: , Ident: (appAttemptId { application_id { id: 20 cluster_timestamp: 1445144423722 } attemptId: 1 } keyId: -127633188)",hadoop
Using mapred newApiCommitter.,"['Using', 'mapred', 'newApiCommitter.']",{},Using mapred newApiCommitter.,hadoop
OutputCommitter set in config null,"['OutputCommitter', 'set', 'in', 'config', 'null']",{},OutputCommitter set in config null,hadoop
OutputCommitter is <*>,"['OutputCommitter', 'is', '<*>']",{2: 'Other::ClosedSet'},OutputCommitter is org.apache.hadoop.mapreduce.lib.output.FileOutputCommitter,hadoop
Registering class <*> for class <*>,"['Registering', 'class', '<*>', 'for', 'class', '<*>']","{2: 'Object', 5: 'Object'}",Registering class org.apache.hadoop.mapreduce.jobhistory.EventType for class org.apache.hadoop.mapreduce.jobhistory.JobHistoryEventHandler,hadoop
Default file system [<*><*><*><*><*>],"['Default', 'file', 'system', '[', '<*>', '<*>', '<*>', '<*>', '<*>', ']']","{4: 'Location::Path', 5: 'Location::Path', 6: 'Location::Path', 7: 'Location::Path', 8: 'Location::Path'}",Default file system [hdfs://msra-sa-41:9000],hadoop
Emitting job history data to the timeline server is not enabled,"['Emitting', 'job', 'history', 'data', 'to', 'the', 'timeline', 'server', 'is', 'not', 'enabled']",{},Emitting job history data to the timeline server is not enabled,hadoop
loaded properties from <*>,"['loaded', 'properties', 'from', '<*>']",{3: 'Location::Path'},loaded properties from hadoop-metrics2.properties,hadoop
Scheduled snapshot period at <*> <*><*><*><*>.,"['Scheduled', 'snapshot', 'period', 'at', '<*>', '<*>', '<*>', '<*>', '<*>', '.']","{4: 'Time::Duration', 5: 'Time::Duration', 6: 'Time::Duration', 7: 'Time::Duration', 8: 'Time::Duration'}",Scheduled snapshot period at 10 second(s).,hadoop
MRAppMaster metrics system started,"['MRAppMaster', 'metrics', 'system', 'started']",{},MRAppMaster metrics system started,hadoop
Adding job token for <*> to jobTokenSecretManager,"['Adding', 'job', 'token', 'for', '<*>', 'to', 'jobTokenSecretManager']",{4: 'Object::Process'},Adding job token for job_1445144423722_0020 to jobTokenSecretManager,hadoop
Not uberizing <*> because: not enabled; too many maps; too much input;,"['Not', 'uberizing', '<*>', 'because', ':', 'not', 'enabled', ';', 'too', 'many', 'maps', ';', 'too', 'much', 'input', ';']",{2: 'Object::Process'},Not uberizing job_1445144423722_0020 because: not enabled; too many maps; too much input;,hadoop
Input size for job <*> = <*>. Number of splits = <*>,"['Input', 'size', 'for', 'job', '<*>', '=', '<*>', '.', 'Number', 'of', 'splits', '=', '<*>']","{4: 'Object::Process', 6: 'Object::ValueExpression'}",Input size for job job_1445144423722_0020 = 1256521728. Number of splits = 10,hadoop
Number of reduces for job <*> = <*>,"['Number', 'of', 'reduces', 'for', 'job', '<*>', '=', '<*>']","{5: 'Object::Process', 7: 'Object::ValueExpression'}",Number of reduces for job job_1445144423722_0020 = 1,hadoop
<*> Transitioned from <*> to <*>,"['<*>', 'Transitioned', 'from', '<*>', 'to', '<*>']","{0: 'Object::Process', 3: 'Other::ClosedSet', 5: 'Other::ClosedSet'}",job_1445144423722_0020Job Transitioned from NEW to INITED,hadoop
"MRAppMaster launching normal, non-uberized, multi-container job <*>","['MRAppMaster', 'launching', 'normal', ',', 'non-uberized', ',', 'multi-container', 'job', '<*>']",{8: 'Object::Process'},"MRAppMaster launching normal, non-uberized, multi-container job job_1445144423722_0020.",hadoop
Using callQueue class <*>,"['Using', 'callQueue', 'class', '<*>']",{3: 'Object'},Using callQueue class java.util.concurrent.LinkedBlockingQueue,hadoop
Starting Socket Reader <*> for port <*>,"['Starting', 'Socket', 'Reader', '<*>', 'for', 'port', '<*>']","{3: 'Object::ValueExpression', 6: 'Object::ValueExpression'}",Starting Socket Reader #1 for port 62260,hadoop
Adding protocol <*> to the server,"['Adding', 'protocol', '<*>', 'to', 'the', 'server']",{2: 'Object'},Adding protocol org.apache.hadoop.mapreduce.v2.api.MRClientProtocolPB to the server,hadoop
Instantiated MRClientService at <*>:62260,"['Instantiated', 'MRClientService', 'at', '<*>', ':', '62260']",{3: 'Location::URL'},Instantiated MRClientService at MININT-FNANLI5.fareast.corp.microsoft.com/10.86.169.121:62260,hadoop
IPC Server <*>: starting,"['IPC', 'Server', '<*>', ':', 'starting']",{2: 'Object::Process'},IPC Server Responder: starting,hadoop
Logging to <*>(<*>) via <*>,"['Logging', 'to', '<*>', '(', '<*>', ')', 'via', '<*>']","{2: 'Object', 4: 'Object', 7: 'Object'}",Logging to org.slf4j.impl.Log4jLoggerAdapter(org.mortbay.log) via org.mortbay.log.Slf4jLog,hadoop
Http request log for <*> is not defined,"['Http', 'request', 'log', 'for', '<*>', 'is', 'not', 'defined']",{4: 'Object'},Http request log for http.requests.mapreduce is not defined,hadoop
Added global filter '<*>' (class=<*>),"['Added', 'global', 'filter', ""'"", '<*>', ""'"", '(', 'class', '=', '<*>', ')']","{4: 'Other::ClosedSet', 9: 'Other::ClosedSet'}",Added global filter 'safety' (class=org.apache.hadoop.http.HttpServer2$QuotingInputFilter),hadoop
Added filter <*> (class=<*>) to context <*>,"['Added', 'filter', '<*>', '(', 'class', '=', '<*>', ')', 'to', 'context', '<*>']","{2: 'Other::ClosedSet', 10: 'Other::ClosedSet'}",Added filter AM_PROXY_FILTER (class=org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter) to context mapreduce,hadoop
adding path spec: <*>,"['adding', 'path', 'spec', ':', '<*>']",{4: 'Object::ValueExpression'},adding path spec: /mapreduce/*,hadoop
Jetty bound to port <*>,"['Jetty', 'bound', 'to', 'port', '<*>']",{4: 'Location::IP-Port::Port'},Jetty bound to port 62267,hadoop
jetty-6.1.26,['jetty-6.1.26'],{},jetty-6.1.26,hadoop
Extract <*><*><*><*><*><*><*> to <*><*><*>,"['Extract', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', 'to', '<*>', '<*>', '<*>']","{1: 'Location::Path', 2: 'Location::Path', 3: 'Location::Path', 4: 'Location::Path', 5: 'Location::Path', 6: 'Location::Path', 7: 'Location::Path', 9: 'Location::Path', 10: 'Location::Path', 11: 'Location::Path'}",Extract jar:file:/D:/hadoop-2.6.0-localbox/share/hadoop/yarn/hadoop-yarn-common-2.6.0-SNAPSHOT.jar!/webapps/mapreduce to C:\Users\msrabi\AppData\Local\Temp\Jetty_0_0_0_0_62267_mapreduce____.8n7xum\webapp,hadoop
Started HttpServer2$SelectChannelConnectorWithSafeStartup@0.0.0.0:<*>,"['Started', 'HttpServer2$SelectChannelConnectorWithSafeStartup@0.0.0.0', ':', '<*>']",{3: 'Location::IP-Port::Port'},Started HttpServer2$SelectChannelConnectorWithSafeStartup@0.0.0.0:62267,hadoop
Web app <*> started at <*>,"['Web', 'app', '<*>', 'started', 'at', '<*>']","{5: 'Location::IP-Port::Port', 2: 'Other::ClosedSet'}",Web app /mapreduce started at 62267,hadoop
Registered webapp guice modules,"['Registered', 'webapp', 'guice', 'modules']",{},Registered webapp guice modules,hadoop
JOB_CREATE <*>,"['JOB_CREATE', '<*>']",{1: 'Object::Process'},JOB_CREATE job_1445144423722_0020,hadoop
nodeBlacklistingEnabled:<*>,"['nodeBlacklistingEnabled', ':', '<*>']",{2: 'Other::ClosedSet'},nodeBlacklistingEnabled:true,hadoop
maxTaskFailuresPerNode is <*>,"['maxTaskFailuresPerNode', 'is', '<*>']",{},maxTaskFailuresPerNode is 3,hadoop
blacklistDisablePercent is <*>,"['blacklistDisablePercent', 'is', '<*>']",{},blacklistDisablePercent is 33,hadoop
Connecting to ResourceManager at <*><*><*>,"['Connecting', 'to', 'ResourceManager', 'at', '<*>', '<*>', '<*>']","{4: 'Location::URL', 6: 'Location::IP-Port::Port'}",Connecting to ResourceManager at msra-sa-41/10.190.173.170:8030,hadoop
"maxContainerCapability: <memory:<*>, vCores:<*>>","['maxContainerCapability', ':', '<', 'memory', ':', '<*>', ',', 'vCores', ':', '<*>', '>']","{5: 'Object::ComputingResource', 9: 'Object::ComputingResource'}","maxContainerCapability: <memory:8192, vCores:32>",hadoop
queue: <*>,"['queue', ':', '<*>']",{2: 'Other::ClosedSet'},queue: default,hadoop
Upper limit on the thread pool size is <*>,"['Upper', 'limit', 'on', 'the', 'thread', 'pool', 'size', 'is', '<*>']",{8: 'Object::ValueExpression'},Upper limit on the thread pool size is 500,hadoop
yarn.client.max-cached-nodemanagers-proxies : <*>,"['yarn.client.max-cached-nodemanagers-proxies', ':', '<*>']",{},yarn.client.max-cached-nodemanagers-proxies : 0,hadoop
Resolved <*> to /default-rack,"['Resolved', '<*>', 'to', '/default-rack']",{1: 'Location::URL'},Resolved MSRA-SA-39.fareast.corp.microsoft.com to /default-rack,hadoop
"<*>:<*>memory:<*>, vCores:<*>>","['<*>', ':', '<*>', 'memory', ':', '<*>', ',', 'vCores', ':', '<*>', '>']","{5: 'Object::ComputingResource', 9: 'Object::ComputingResource', 0: 'Other::ClosedSet'}","mapResourceRequest:<memory:1024, vCores:1>",hadoop
"Event Writer setup for JobId: <*>, File: <*><*><*><*><*>","['Event', 'Writer', 'setup', 'for', 'JobId', ':', '<*>', ',', 'File', ':', '<*>', '<*>', '<*>', '<*>', '<*>']","{6: 'Object::Process', 10: 'Location::Path', 11: 'Location::Path', 12: 'Location::Path', 13: 'Location::Path', 14: 'Location::Path'}","Event Writer setup for JobId: job_1445144423722_0020, File: hdfs://msra-sa-41:9000/tmp/hadoop-yarn/staging/msrabi/.staging/job_1445144423722_0020/job_1445144423722_0020_1.jhist",hadoop
<*> Scheduling: PendingReds:<*> ScheduledMaps:<*> ScheduledReds:<*> AssignedMaps:<*> AssignedReds:<*> CompletedMaps:<*> CompletedReds:<*> ContAlloc:<*> ContRel:<*> HostLocal:<*> RackLocal:<*>,"['<*>', 'Scheduling', ':', 'PendingReds', ':', '<*>', 'ScheduledMaps', ':', '<*>', 'ScheduledReds', ':', '<*>', 'AssignedMaps', ':', '<*>', 'AssignedReds', ':', '<*>', 'CompletedMaps', ':', '<*>', 'CompletedReds', ':', '<*>', 'ContAlloc', ':', '<*>', 'ContRel', ':', '<*>', 'HostLocal', ':', '<*>', 'RackLocal', ':', '<*>']",{0: 'Other::ClosedSet'},Before Scheduling: PendingReds:1 ScheduledMaps:10 ScheduledReds:0 AssignedMaps:0 AssignedReds:0 CompletedMaps:0 CompletedReds:0 ContAlloc:0 ContRel:0 HostLocal:0 RackLocal:0,hadoop
"getResources() for <*>: ask=<*> release= <*> newContainers=<*> finishedContainers=<*> resourcelimit=<memory:<*>, vCores:<*>> knownNMs=<*>","['getResources', '(', ')', 'for', '<*>', ':', 'ask', '=', '<*>', 'release', '=', '<*>', 'newContainers', '=', '<*>', 'finishedContainers', '=', '<*>', 'resourcelimit', '=', '<', 'memory', ':', '<*>', ',', 'vCores', ':', '<*>', '>', 'knownNMs', '=', '<*>']","{4: 'Object::Process', 23: 'Object::ComputingResource', 27: 'Object::ComputingResource', 31: 'Object::ComputingResource'}","getResources() for application_1445144423722_0020: ask=4 release= 0 newContainers=0 finishedContainers=0 resourcelimit=<memory:10240, vCores:-17> knownNMs=4",hadoop
"Recalculating schedule, headroom=<memory:<*>, vCores:<*>>","['Recalculating', 'schedule', ',', 'headroom', '=', '<', 'memory', ':', '<*>', ',', 'vCores', ':', '<*>', '>']","{8: 'Object::ComputingResource', 12: 'Object::ComputingResource'}","Recalculating schedule, headroom=<memory:10240, vCores:-17>",hadoop
Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>,"['Reduce', 'slow', 'start', 'threshold', 'not', 'met', '.', 'completedMapsForReduceSlowstart', '<*>']",{},Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,hadoop
Got allocated containers <*>,"['Got', 'allocated', 'containers', '<*>']",{3: 'Object::ValueExpression'},Got allocated containers 1,hadoop
Assigned container <*> to <*>,"['Assigned', 'container', '<*>', 'to', '<*>']","{2: 'Object::ComputingResource', 4: 'Object::ComputingResource'}",Assigned container container_1445144423722_0020_01_000002 to attempt_1445144423722_0020_m_000000_0,hadoop
The <*> file on the remote FS is <*><*><*><*><*>,"['The', '<*>', 'file', 'on', 'the', 'remote', 'FS', 'is', '<*>', '<*>', '<*>', '<*>', '<*>']","{8: 'Location::URL', 9: 'Location::URL', 10: 'Location::URL', 11: 'Location::URL', 12: 'Location::URL', 1: 'Other::ClosedSet'}",The job-jar file on the remote FS is hdfs://msra-sa-41:9000/tmp/hadoop-yarn/staging/msrabi/.staging/job_1445144423722_0020/job.jar,hadoop
Processing the event EventType: JOB_SETUP,"['Processing', 'the', 'event', 'EventType', ':', 'JOB_SETUP']",{},Processing the event EventType: JOB_SETUP,hadoop
Adding <*> tokens and <*> secret keys for NM use for launching container,"['Adding', '<*>', 'tokens', 'and', '<*>', 'secret', 'keys', 'for', 'NM', 'use', 'for', 'launching', 'container']","{1: 'Object::ValueExpression', 4: 'Object::ValueExpression'}",Adding #0 tokens and #1 secret keys for NM use for launching container,hadoop
Size of containertokens_dob is <*>,"['Size', 'of', 'containertokens_dob', 'is', '<*>']",{4: 'Object::ValueExpression'},Size of containertokens_dob is 1,hadoop
Putting shuffle token in serviceData,"['Putting', 'shuffle', 'token', 'in', 'serviceData']",{},Putting shuffle token in serviceData,hadoop
Processing the event EventType: <*> for container <*> taskAttempt <*>,"['Processing', 'the', 'event', 'EventType', ':', '<*>', 'for', 'container', '<*>', 'taskAttempt', '<*>']","{8: 'Object::ComputingResource', 10: 'Object::Process'}",Processing the event EventType: CONTAINER_REMOTE_LAUNCH for container container_1445144423722_0020_01_000002 taskAttempt attempt_1445144423722_0020_m_000000_0,hadoop
Launching <*>,"['Launching', '<*>']",{1: 'Object::Process'},Launching attempt_1445144423722_0020_m_000000_0,hadoop
Opening proxy : <*>:<*>,"['Opening', 'proxy', ':', '<*>', ':', '<*>']","{3: 'Location::URL', 5: 'Location::IP-Port::Port'}",Opening proxy : 04DN8IQ.fareast.corp.microsoft.com:54883,hadoop
Shuffle port returned by ContainerManager for <*> : <*>,"['Shuffle', 'port', 'returned', 'by', 'ContainerManager', 'for', '<*>', ':', '<*>']","{6: 'Object::Process', 8: 'Location::IP-Port::Port'}",Shuffle port returned by ContainerManager for attempt_1445144423722_0020_m_000000_0 : 13562,hadoop
TaskAttempt: [<*>] using containerId: [<*> on NM: [<*>:<*>],"['TaskAttempt', ':', '[', '<*>', ']', 'using', 'containerId', ':', '[', '<*>', 'on', 'NM', ':', '[', '<*>', ':', '<*>', ']']","{3: 'Object::Process', 9: 'Object::ComputingResource', 14: 'Location::URL', 16: 'Location::IP-Port::Port'}",TaskAttempt: [attempt_1445144423722_0020_m_000000_0] using containerId: [container_1445144423722_0020_01_000002 on NM: [04DN8IQ.fareast.corp.microsoft.com:54883],hadoop
ATTEMPT_START <*>,"['ATTEMPT_START', '<*>']",{1: 'Object::Process'},ATTEMPT_START task_1445144423722_0020_m_000000,hadoop
Auth successful for <*> (auth:<*>),"['Auth', 'successful', 'for', '<*>', '(', 'auth', ':', '<*>', ')']","{3: 'Object::Process', 7: 'Other::ClosedSet'}",Auth successful for job_1445144423722_0020 (auth:SIMPLE),hadoop
JVM with ID : jvm_1445144423722_0020_m_000002 asked for a task,"['JVM', 'with', 'ID', ':', 'jvm_1445144423722_0020_m_000002', 'asked', 'for', 'a', 'task']",{},JVM with ID : jvm_1445144423722_0020_m_000002 asked for a task,hadoop
JVM with ID: <*> given task: <*>,"['JVM', 'with', 'ID', ':', '<*>', 'given', 'task', ':', '<*>']",{8: 'Object::Process'},JVM with ID: jvm_1445144423722_0020_m_000002 given task: attempt_1445144423722_0020_m_000000_0,hadoop
JVM with ID : <*> asked for a task,"['JVM', 'with', 'ID', ':', '<*>', 'asked', 'for', 'a', 'task']",{},JVM with ID : jvm_1445144423722_0020_m_000003 asked for a task,hadoop
Progress of TaskAttempt <*> is : <*>,"['Progress', 'of', 'TaskAttempt', '<*>', 'is', ':', '<*>']",{3: 'Object::Process'},Progress of TaskAttempt attempt_1445144423722_0020_m_000000_0 is : 0.023958297,hadoop
"Cannot assign container Container: [ContainerId: <*>, NodeId: <*><*><*>, NodeHttpAddress: <*><*><*>, Resource: <memory:<*>, vCores:<*>>, Priority: <*>, Token: Token { kind: <*>, service: <*><*><*> }, ] for a map as either  container memory less than required <memory:<*>, vCores:<*>> or no pending map tasks - maps.isEmpty=<*>","['Cannot', 'assign', 'container', 'Container', ':', '[', 'ContainerId', ':', '<*>', ',', 'NodeId', ':', '<*>', '<*>', '<*>', ',', 'NodeHttpAddress', ':', '<*>', '<*>', '<*>', ',', 'Resource', ':', '<', 'memory', ':', '<*>', ',', 'vCores', ':', '<*>', '>', ',', 'Priority', ':', '<*>', ',', 'Token', ':', 'Token', '{', 'kind', ':', '<*>', ',', 'service', ':', '<*>', '<*>', '<*>', '}', ',', ']', 'for', 'a', 'map', 'as', 'either', 'container', 'memory', 'less', 'than', 'required', '<', 'memory', ':', '<*>', ',', 'vCores', ':', '<*>', '>', 'or', 'no', 'pending', 'map', 'tasks', '-', 'maps.isEmpty', '=', '<*>']","{8: 'Object::ComputingResource', 18: 'Location::URL', 31: 'Object::ComputingResource', 44: 'Other::ClosedSet', 48: 'Location::IP-Port::IP', 50: 'Location::IP-Port::Port', 67: 'Object::ComputingResource', 71: 'Object::ComputingResource', 81: 'Other::ClosedSet', 19: 'Location::URL', 20: 'Location::URL', 27: 'Object::ComputingResource'}","Cannot assign container Container: [ContainerId: container_1445144423722_0020_01_000012, NodeId: MSRA-SA-39.fareast.corp.microsoft.com:28345, NodeHttpAddress: MSRA-SA-39.fareast.corp.microsoft.com:8042, Resource: <memory:1024, vCores:1>, Priority: 20, Token: Token { kind: ContainerToken, service: 172.22.149.145:28345 }, ] for a map as either  container memory less than required <memory:1024, vCores:1> or no pending map tasks - maps.isEmpty=true",hadoop
Received completed container <*>,"['Received', 'completed', 'container', '<*>']",{3: 'Object::ComputingResource'},Received completed container container_1445144423722_0020_01_000012,hadoop
Container complete event for unknown container id <*>,"['Container', 'complete', 'event', 'for', 'unknown', 'container', 'id', '<*>']",{7: 'Object::ComputingResource'},Container complete event for unknown container id container_1445144423722_0020_01_000012,hadoop
Done acknowledgement from <*>,"['Done', 'acknowledgement', 'from', '<*>']",{3: 'Object::ComputingResource'},Done acknowledgement from attempt_1445144423722_0020_m_000003_0,hadoop
KILLING <*>,"['KILLING', '<*>']",{1: 'Object'},KILLING attempt_1445144423722_0020_m_000003_0,hadoop
Task succeeded with attempt <*>,"['Task', 'succeeded', 'with', 'attempt', '<*>']",{4: 'Object'},Task succeeded with attempt attempt_1445144423722_0020_m_000003_0,hadoop
Num completed Tasks: <*>,"['Num', 'completed', 'Tasks', ':', '<*>']",{},Num completed Tasks: 1,hadoop
Reduce slow start threshold reached. Scheduling reduces.,"['Reduce', 'slow', 'start', 'threshold', 'reached', '.', 'Scheduling', 'reduces.']",{},Reduce slow start threshold reached. Scheduling reduces.,hadoop
All maps assigned. Ramping up all remaining reduces:<*>,"['All', 'maps', 'assigned', '.', 'Ramping', 'up', 'all', 'remaining', 'reduces', ':', '<*>']",{},All maps assigned. Ramping up all remaining reduces:1,hadoop
DefaultSpeculator.addSpeculativeAttempt -- we are speculating <*>,"['DefaultSpeculator.addSpeculativeAttempt', '--', 'we', 'are', 'speculating', '<*>']",{5: 'Object'},DefaultSpeculator.addSpeculativeAttempt -- we are speculating task_1445144423722_0020_m_000000,hadoop
We launched <*> speculations.  Sleeping <*> <*>,"['We', 'launched', '<*>', 'speculations', '.', 'Sleeping', '<*>', '<*>']","{2: 'Object::ValueExpression', 6: 'Time::Duration', 7: 'Time::Duration'}",We launched 1 speculations.  Sleeping 15000 milliseconds.,hadoop
Scheduling a redundant attempt for task <*>,"['Scheduling', 'a', 'redundant', 'attempt', 'for', 'task', '<*>']",{6: 'Object'},Scheduling a redundant attempt for task task_1445144423722_0020_m_000000,hadoop
Diagnostics report from <*>: Container killed by the ApplicationMaster.,"['Diagnostics', 'report', 'from', '<*>', ':', 'Container', 'killed', 'by', 'the', 'ApplicationMaster.']",{3: 'Object'},Diagnostics report from attempt_1445144423722_0020_m_000003_0: Container killed by the ApplicationMaster.,hadoop
Address change detected. Old: <*>:<*> New: <*>:<*>,"['Address', 'change', 'detected', '.', 'Old', ':', '<*>', ':', '<*>', 'New', ':', '<*>', ':', '<*>']","{6: 'Location::URL', 8: 'Location::IP-Port::Port', 11: 'Location::URL', 13: 'Location::IP-Port::Port'}",Address change detected. Old: msra-sa-41/10.190.173.170:9000 New: msra-sa-41:9000,hadoop
Failed to renew lease for [<*>] for <*> <*>.  Will retry shortly ...,"['Failed', 'to', 'renew', 'lease', 'for', '[', '<*>', ']', 'for', '<*>', '<*>', '.', 'Will', 'retry', 'shortly', '...']","{6: 'Object', 9: 'Time::Duration', 10: 'Time::Duration'}",Failed to renew lease for [DFSClient_NONMAPREDUCE_1537864556_1] for 30 seconds.  Will retry shortly ...,hadoop
"Slow ReadProcessor read fields took <*> (threshold=<*>); ack<*> seqno: <*> status: <*> status: <*> downstreamAckTimeNanos: <*>, targets: [<*>:<*>, <*>:<*>]","['Slow', 'ReadProcessor', 'read', 'fields', 'took', '<*>', '(', 'threshold', '=', '<*>', ')', ';', 'ack', '<*>', 'seqno', ':', '<*>', 'status', ':', '<*>', 'status', ':', '<*>', 'downstreamAckTimeNanos', ':', '<*>', ',', 'targets', ':', '[', '<*>', ':', '<*>', ',', '<*>', ':', '<*>', ']']","{5: 'Time::Duration', 9: 'Time::Duration', 19: 'Other::ClosedSet', 22: 'Other::ClosedSet', 30: 'Location::IP-Port::IP', 32: 'Location::IP-Port::Port', 34: 'Location::IP-Port::IP', 36: 'Location::IP-Port::Port'}","Slow ReadProcessor read fields took 65020ms (threshold=30000ms); ack: seqno: -2 status: SUCCESS status: ERROR downstreamAckTimeNanos: 0, targets: [10.86.169.121:50010, 10.190.173.170:50010]",hadoop
DFSOutputStream ResponseProcessor exception  for block BP-1347369012-10.190.173.170-1444972147527:blk_1073743512_2731,"['DFSOutputStream', 'ResponseProcessor', 'exception', 'for', 'block', 'BP-1347369012-10.190.173.170-1444972147527', ':', 'blk_1073743512_2731']",{},DFSOutputStream ResponseProcessor exception  for block BP-1347369012-10.190.173.170-1444972147527:blk_1073743512_2731,hadoop
"Error Recovery for block <*>:<*> in pipeline <*>:<*>, <*>:<*>: bad datanode <*>:<*>","['Error', 'Recovery', 'for', 'block', '<*>', ':', '<*>', 'in', 'pipeline', '<*>', ':', '<*>', ',', '<*>', ':', '<*>', ':', 'bad', 'datanode', '<*>', ':', '<*>']","{4: 'Object::ComputingResource', 6: 'Object::ComputingResource', 9: 'Location::IP-Port::IP', 11: 'Location::IP-Port::Port', 13: 'Location::IP-Port::IP', 15: 'Location::IP-Port::Port', 19: 'Location::IP-Port::IP', 21: 'Location::IP-Port::Port'}","Error Recovery for block BP-1347369012-10.190.173.170-1444972147527:blk_1073743512_2731 in pipeline 10.86.169.121:50010, 10.190.173.170:50010: bad datanode 10.190.173.170:50010",hadoop
DataStreamer Exception,"['DataStreamer', 'Exception']",{},DataStreamer Exception,hadoop
ERROR IN CONTACTING RM.,"['ERROR', 'IN', 'CONTACTING', 'RM.']",{},ERROR IN CONTACTING RM.,hadoop
"Retrying connect to server: <*>:<*>. Already tried <*> time(s); retry policy is <*>(maxRetries=<*>, sleepTime=<*> <*>)","['Retrying', 'connect', 'to', 'server', ':', '<*>', ':', '<*>', '.', 'Already', 'tried', '<*>', 'time', '(', 's', ')', ';', 'retry', 'policy', 'is', '<*>', '(', 'maxRetries', '=', '<*>', ',', 'sleepTime', '=', '<*>', '<*>', ')']","{5: 'Location::URL', 7: 'Location::IP-Port::Port', 11: 'Object::ValueExpression', 28: 'Time::Duration', 29: 'Time::Duration', 20: 'Other::ClosedSet'}","Retrying connect to server: msra-sa-41:8030. Already tried 0 time(s); retry policy is RetryUpToMaximumCountWithFixedSleep(maxRetries=10, sleepTime=1000 MILLISECONDS)",hadoop
Task: <*> - exited : <*>: No Route to Host from  <*> to <*>:<*> failed on socket timeout exception: java.net.NoRouteToHostException: No route to host: no further information; For more details see:  <*><*><*>,"['Task', ':', '<*>', '-', 'exited', ':', '<*>', ':', 'No', 'Route', 'to', 'Host', 'from', '<*>', 'to', '<*>', ':', '<*>', 'failed', 'on', 'socket', 'timeout', 'exception', ':', 'java.net.NoRouteToHostException', ':', 'No', 'route', 'to', 'host', ':', 'no', 'further', 'information', ';', 'For', 'more', 'details', 'see', ':', '<*>', '<*>', '<*>']","{2: 'Object::Process', 13: 'Location', 15: 'Location::URL', 17: 'Location::IP-Port::Port', 40: 'Location::URL', 41: 'Location::URL', 42: 'Location::URL'}",Task: attempt_1445144423722_0020_m_000002_0 - exited : java.net.NoRouteToHostException: No Route to Host from  MININT-FNANLI5/127.0.0.1 to msra-sa-41:9000 failed on socket timeout exception: java.net.NoRouteToHostException: No route to host: no further information; For more details see:  http://wiki.apache.org/hadoop/NoRouteToHost,hadoop
